serie;set;appAfkorting;gekozenExpansionId;rang;score;overlap;appUniekeNamen;cmUniekeNamen;cmProducten;origineelAdvies;keuzeReden;sampleOverlap
Mega Evolution;Chaos Rising;CRI;6517;3;0.1237;11;87;90;122;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;ange floette, az s tranquility, emma, energy retrieval, jumbo ice cream, philippe, prism tower, roxie s performance, special red card, surfing beach, tool scrapper
Mega Evolution;Perfect Order;POR;6443;1;0.2283;21;92;92;125;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;antique jaw fossil, antique sail fossil, core memory, crushing hammer, energy recycler, energy search, energy swatter, forest of vitality, jacinthe, judge, lumiose city, lumiose galette, naveen, poke ball, poke pad, pokemon catcher, potion, rosa s encouragement
Mega Evolution;Ascended Heroes;ASC;6395;1;0.1647;37;224;225;296;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;acerola s mischief, air balloon, anthea and concordia, black belt s training, buddy buddy poffin, canari, cheren, counter gain, fighting gong, forest of vitality, glass trumpet, iris s fighting spirit, jamming tower, light ball, lillie s determination, mega signal, mystery garden, n s pp up
Mega Evolution;Phantasmal Flames;PFL;6299;2;0.1224;12;98;98;130;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;battle cage, blowtorch, dawn, dizzying valley, firebreather, grimsley s move, ignition energy, jumbo ice cream, punk helmet, sacred charm, switch, wondrous patch
Mega Evolution;Mega Evolution;MEG;6209;1;0.163;22;135;135;188;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;acerola s mischief, air balloon, buddy buddy poffin, energy switch, fighting gong, forest of vitality, iron defender, lillie s determination, lt surge s bargain, mega signal, mystery garden, night stretcher, pokemon center lady, premium power pro, rare candy, repel, risky ruins, strange timepiece
Scarlet & Violet;White Flare;WHT;6135;4;0.092;8;87;87;173;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;antique plume fossil, brave bangle, cheren, energy retrieval, harlequin, hilda, ignition energy, tool scrapper
Scarlet & Violet;Black Bolt;BLK;6134;3;0.0814;7;86;86;172;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;air balloon, antique cover fossil, energy coin, fennel, n s plan, pokegear 3 0, prism energy
Scarlet & Violet;Destined Rivals;DRI;6096;1;0.1304;24;184;184;244;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;arven s sandwich, cynthia s power weight, emcee s hype, energy recycler, ethan s adventure, granite cave, jamming tower, judge, levincia, sacred ash, spikemuth gym, team rocket s archer, team rocket s ariana, team rocket s bother bot, team rocket s energy, team rocket s factory, team rocket s giovanni, team rocket s great ball
Scarlet & Violet;Journey Together;JTG;6006;2;0.0955;15;157;157;190;zwak/alternatief;override: betere setgrootte/productcount dan rang-1;billy and o nare, black belt s training, brock s scouting, hop s bag, hop s choice band, iris s fighting spirit, levincia, lillie s pearl, n s castle, n s pp up, postwick, redeemable ticket, ruffian, spiky energy, super potion
Scarlet & Violet;Prismatic Evolutions;PRE;5944;1;0.2778;41;145;149;180;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist;automatisch gekozen: overlap + vergelijkbare setgrootte;amarys, area zero underdepths, atticus, binding mochi, black belt s training, brassius, briar, buddy buddy poffin, bug catching set, carmine, ciphermaniac s codebreaking, crispin, drayton, earthen vessel, eri, explorer s guidance, festival grounds, friends in paldea
